Transaction_ID,Customer_ID,Date,Type,Category,Merchant,Amount,Balance,Fraud_Flag
TXN00001,CUST100,2025-01-01 00:00:00,Debit,Bills,Target,10.13,9382.76,0
TXN00002,CUST111,2025-01-01 01:35:00,Debit,Health,Walmart,122.34,11386.98,0
TXN00003,CUST107,2025-01-01 03:11:00,Debit,Food,Target,104.2,16646.93,0
TXN00004,CUST123,2025-01-01 04:46:00,Debit,Entertainment,Walmart,66.73,22207.2,0
TXN00005,CUST110,2025-01-01 06:22:00,Debit,Transport,Amazon,128.9,13746.29,0
TXN00006,CUST118,2025-01-01 07:57:00,Debit,Transport,Local Shell Gas,100.98,18240.74,0
TXN00007,CUST116,2025-01-01 09:33:00,Debit,Shopping,Walmart,39.61,11241.94,0
TXN00008,CUST107,2025-01-01 11:08:00,Credit,Health,Costco,65.85,16712.78,0
TXN00009,CUST102,2025-01-01 12:44:00,Credit,Transport,Costco,72.06,5483.49,0
TXN00010,CUST102,2025-01-01 14:20:00,Debit,Health,Amazon,259.68,5223.81,0
TXN00011,CUST100,2025-01-01 15:55:00,Debit,Entertainment,Netflix,394.01,8988.75,0
TXN00012,CUST104,2025-01-01 17:31:00,Debit,Entertainment,Stripe Vendor,273.19,6059.85,0
TXN00013,CUST109,2025-01-01 19:06:00,Debit,Transport,Local Shell Gas,157.4,7659.18,0
TXN00014,CUST106,2025-01-01 20:42:00,Debit,Entertainment,City Utilities,110.54,11149.21,0
TXN00015,CUST108,2025-01-01 22:17:00,Debit,Health,Starbucks,145.26,18441.05,0
TXN00016,CUST106,2025-01-01 23:53:00,Credit,Entertainment,Uber,340.84,11490.05,0
TXN00017,CUST108,2025-01-02 01:29:00,Debit,Food,Local Shell Gas,39.52,18401.53,0
TXN00018,CUST107,2025-01-02 03:04:00,Credit,Health,Amazon,96.92,16809.7,0
TXN00019,CUST111,2025-01-02 04:40:00,Credit,Bills,Costco,145.39,11532.37,0
TXN00020,CUST101,2025-01-02 06:15:00,Debit,Entertainment,Starbucks,141.45,11882.7,0
TXN00021,CUST100,2025-01-02 07:51:00,Credit,Entertainment,Walmart,39.89,9028.64,0
TXN00022,CUST115,2025-01-02 09:26:00,Credit,Health,Netflix,111.04,18176.2,0
TXN00023,CUST122,2025-01-02 11:02:00,Credit,Shopping,Netflix,195.71,10120.45,0
TXN00024,CUST122,2025-01-02 12:37:00,Debit,Bills,Stripe Vendor,82.34,10038.11,0
